id,rssi,real_distance,estimated_distance
49,-51,2,2.244
50,-48,2,1.589
51,-47.5,2,1.5
52,-48,2,1.589
53,-50.5,2,2.119
54,-49.5,2,1.888
55,-49.5,2,1.888
56,-48,2,1.589
57,-46,2,1.262
58,-57.5,2,4.743
59,-48.5,1,1.683
60,-43.5,1,0.946
61,-43,1,0.893
62,-49.5,1,1.888
63,-46,1,1.262
64,-46.5,1,1.337
65,-45.5,1,1.191
66,-46.5,1,1.337
67,-46.5,1,1.337
68,-45.5,1,1.191
69,-54,3,3.17
70,-50,3,2
71,-48,3,1.589
72,-53.5,3,2.992
73,-48,3,1.589
74,-56,3,3.991
75,-51.5,3,2.377
76,-53,3,2.825
77,-52,3,2.518
87,-58.5,4,5.321
88,-57,4,4.477
89,-54.5,4,3.358
90,-49,4,1.783
91,-61,4,7.096
92,-49.5,4,1.888
93,-57,4,4.477
94,-61,4,7.096
