x,y
97,699
210,585
42,65
323,387
218,68
267,543
66,462
359,300
181,40
88,153
238,475
83,492
30,103
420,443
425,223
255,674
155,145
279,738
236,452
384,242
336,622
282,621
129,615
59,755
254,539
51,216
172,112
117,682
220,571
319,492
384,624
185,420
439,689
412,189
38,306
438,562
371,296
175,501
277,161
34,505
182,389
93,176
137,271
137,639
409,740
145,576
243,296
64,717
298,215
392,54
160,454
192,87
293,598
191,575
299,660
441,169
117,745
54,252
264,100
395,679
326,183
329,328
80,478
26,394
230,40
321,63
216,670
299,25
255,106
137,204
300,663
230,600
50,693
445,531
370,393
154,76
24,337
401,172
230,354
253,419
380,164
377,259
210,325
445,618
215,30
177,230
18,9
39,399
63,670
283,254
188,238
34,726
212,644
350,286
285,378
156,612
217,86
16,601
287,716
423,432
128,712
399,175
407,436
53,345
279,615
196,248
236,587
326,658
248,530
258,676
380,618
383,56
77,77
196,546
317,298
16,653
312,191
432,673
336,565
173,664
369,183
331,541
249,753
296,107
20,170
437,215
75,407
223,613
77,701
153,599
261,573
327,686
346,622
57,457
276,493
291,521
224,419
437,157
38,686
251,435
258,177
48,615
317,446
173,486
33,364
184,571
115,390
21,85
262,103
389,366
12,499
319,759
295,562
148,427
130,567
416,713
208,405
196,561
371,238
105,601
415,171
403,444
367,415
251,505
20,255
334,313
396,555
47,237
39,186
236,448
286,639
420,600
132,253
228,115
159,27
121,496
384,721
73,131
93,447
394,226
338,55
165,173
445,731
46,617
186,178
178,236
349,743
188,202
240,341
330,526
108,256
366,101
391,20
24,598
404,262
129,731
330,542
314,618
332,179
277,650
265,287
383,620
433,646
257,685
39,595
332,528
154,190
72,243
292,480
319,91
388,485
239,619
299,285
33,181
429,346
296,533
273,301
263,580
29,393
423,548
31,547
230,73
237,736
277,632
25,124
110,243
196,669
432,728
172,327
4,195
450,174
253,35
92,99
134,109
212,748
205,140
285,151
25,182
104,293
117,20
370,201
59,51
88,295
141,524
252,226
284,266
194,36
81,557
55,34
218,384
367,705
4,702
130,546
405,464
204,559
181,349
32,251
340,465
101,140
350,421
273,381
253,654
168,541
66,49
308,608
58,406
342,426
268,580
216,605
354,408
18,273
412,365
36,421
346,138
179,8
160,8
398,515
378,672
233,498
391,483
35,114
155,407
408,299
136,35
108,156
30,727
265,599
427,332
247,252
400,748
357,584
347,222
134,313
143,40
178,107
361,307
427,262
92,608
4,744
55,283
257,523
287,714
206,119
290,364
110,362
283,283
206,660
405,0
430,573
352,700
85,314
319,390
139,156
5,215
43,742
164,626
358,33
377,234
355,675
179,102
180,258
94,41
149,576
326,518
8,483
428,61
71,86
70,594
358,138
424,613
50,239
171,289
102,30
412,451
56,475
335,525
5,515
341,424
180,218
428,34
45,348
264,393
301,365
28,563
179,493
155,511
194,749
173,317
131,674
362,611
165,252
360,141
145,43
297,54
78,720
211,311
153,110
267,690
147,367
47,418
363,168
179,639
29,647
143,753
197,672
110,269
25,439
289,90
43,187
156,597
35,226
187,7
67,253
47,168
379,283
288,383
343,633
172,75
422,359
122,353
282,12
298,589
181,585
165,716
409,435
264,548
177,533
352,650
166,380
124,342
63,31
183,228
105,178
191,332
357,700
193,86
390,318
371,82
415,442
14,86
155,124
36,671
375,496
28,623
158,441
418,363
344,691
204,384
351,404
434,275
240,651
150,405
376,499
269,727
350,577
386,334
310,65
337,161
199,521
262,16
406,168
102,383
416,403
259,665
233,697
395,339
387,433
192,380
167,720
107,485
331,352
443,183
89,431
58,163
123,658
433,560
172,645
334,54
370,423
235,225
52,118
288,431
42,544
33,466
8,449
66,254
281,324
356,59
147,528
241,443
51,668
379,540
34,761
46,448
450,636
56,723
222,447
417,549
258,7
348,687
174,499
72,337
392,214
121,69
105,602
258,245
237,167
345,637
133,401
114,101
252,411
315,622
71,137
280,98
256,469
362,394
376,174
323,608
164,543
404,112
227,138
342,325
332,608
277,67
221,229
246,505
112,318
217,205
295,104
118,247
332,160
289,110
397,565
24,279
91,225
127,535
259,447
31,247
246,614
17,6
442,747
293,590
46,490
70,578
410,325
84,568
44,286
85,573
433,300
410,481
221,233
260,87
68,28
422,744
12,311
226,265
75,445
190,563
155,268
43,70
441,27
360,306
102,53
387,418
192,522
173,124
236,199
449,30
107,660
421,645
375,256
410,472
165,485
362,131
43,711
21,143
352,87
135,624
93,48
433,724
348,403
70,758
92,412
386,365
247,293
147,653
33,88
186,231
35,72
349,363
292,691
11,594
1,162
391,433
10,506
196,55
50,664
373,610
305,344
72,483
385,127
289,444
276,433
125,699
228,508
163,637
182,101
4,171
396,346
404,254
261,698
245,224
293,626
151,69
424,677
159,551
66,180
103,294
434,501
333,147
201,565
37,608
449,602
400,552
147,593
357,403
226,52
59,633
83,476
361,390
357,603
208,218
170,71
273,715
129,200
183,324
362,337
294,207
19,3
434,640
189,351
444,58
27,514
99,695
183,210
209,494
356,474
303,694
247,14
266,127
293,157
96,676
200,369
186,172
126,494
311,309
405,584
141,39
192,507
217,349
408,276
53,261
174,669
231,411
196,525
164,194
221,655
92,11
119,314
235,332
126,489
200,216
431,504
249,83
317,177
349,165
95,434
54,61
92,742
229,461
51,216
70,424
292,163
326,594
125,79
215,131
296,185
86,668
111,242
116,480
284,686
84,494
370,492
322,696
259,481
293,285
170,153
335,58
245,21
162,572
438,239
400,255
321,714
258,166
336,678
330,744
117,682
