x,y
387,376
299,45
26,337
334,377
251,507
463,386
472,413
298,294
48,102
319,307
398,24
72,431
331,244
370,605
123,342
96,420
160,220
339,409
271,446
377,179
151,419
50,502
454,223
170,561
103,543
423,161
38,597
115,314
377,471
366,103
175,528
88,547
492,452
492,187
496,618
461,208
333,604
439,224
248,340
225,627
288,462
306,223
481,299
475,287
516,277
508,354
22,212
490,15
410,431
170,85
32,597
494,624
264,624
147,153
66,429
300,176
487,101
375,545
275,451
318,107
443,433
281,444
297,300
50,108
125,310
19,455
492,107
306,142
472,174
458,126
205,399
43,621
294,126
79,185
367,635
173,551
306,63
66,25
280,192
470,344
70,278
485,453
510,577
337,45
477,392
506,461
274,435
148,306
134,27
403,493
513,24
137,346
40,158
91,262
248,536
517,435
107,264
24,114
499,290
468,51
352,143
383,554
81,308
482,339
89,316
36,263
479,307
215,430
85,185
497,336
26,426
354,245
54,161
40,171
270,352
1,195
29,563
501,195
401,349
380,402
470,227
230,422
82,28
77,530
416,195
387,38
379,350
432,589
110,436
302,546
262,495
151,194
29,420
99,484
249,123
380,339
322,428
109,415
31,353
226,195
181,148
65,467
163,190
277,248
131,147
350,519
455,360
479,489
5,411
459,427
339,274
81,251
470,306
491,527
283,211
56,302
482,574
503,201
206,475
173,154
186,2
298,383
247,67
448,230
506,305
436,289
1,445
77,567
4,510
463,586
245,161
201,327
123,290
383,390
227,532
330,189
236,590
285,587
66,583
109,402
290,476
419,6
243,167
316,115
80,75
385,59
303,180
404,102
14,597
209,448
41,219
433,250
323,476
115,80
431,99
238,546
230,564
508,244
162,214
313,37
1,633
425,458
348,22
231,635
422,546
59,230
428,374
60,212
167,632
361,416
171,382
314,430
132,626
298,344
290,215
402,590
413,233
303,410
150,24
74,253
163,399
366,476
435,297
362,117
171,405
117,96
343,462
502,634
507,328
98,525
486,216
291,169
298,95
491,26
157,357
444,431
32,185
146,158
85,484
1,274
150,568
270,404
85,5
319,348
14,342
409,377
236,208
192,213
501,448
157,501
379,154
125,331
349,84
288,222
35,241
329,46
427,299
426,0
106,600
237,165
42,391
362,382
500,535
77,259
78,22
306,2
91,18
158,537
286,502
23,44
462,355
307,283
501,29
207,633
459,418
467,343
168,298
187,390
161,70
214,13
7,37
154,126
177,340
245,302
377,141
497,195
63,211
245,23
34,333
283,126
433,111
137,63
403,376
25,473
292,557
407,241
418,355
192,629
140,467
266,509
305,478
377,212
412,333
137,311
293,597
486,464
156,436
180,238
398,423
174,281
433,31
511,238
388,630
468,120
250,280
134,306
158,47
324,484
137,295
53,547
470,624
220,588
392,415
390,440
55,296
196,535
415,143
138,616
352,539
455,146
509,216
299,12
10,257
115,72
289,189
339,403
229,25
145,320
428,451
266,298
386,351
239,355
510,614
241,78
43,348
373,365
117,121
311,304
289,150
169,22
92,143
35,116
153,634
198,424
99,323
405,445
219,154
468,160
493,567
221,552
222,609
402,404
105,399
353,515
295,214
165,501
304,49
311,424
394,628
266,130
493,376
18,16
509,483
155,632
466,416
384,333
339,35
511,13
294,56
110,162
212,268
232,162
181,15
211,90
307,525
508,540
169,497
40,233
357,561
420,451
475,80
210,26
37,374
217,230
161,253
490,237
71,71
366,448
265,362
314,518
177,361
501,332
329,154
58,194
407,425
6,157
378,484
235,210
288,597
334,124
75,129
318,218
335,240
359,117
163,167
90,153
6,391
252,31
208,507
354,88
138,151
261,338
296,529
34,47
161,247
342,301
142,283
228,37
177,451
468,186
58,280
186,564
454,603
9,287
491,133
32,85
381,159
303,209
497,287
267,222
245,71
181,590
469,285
146,629
13,339
431,465
166,343
164,558
201,62
445,364
227,439
401,600
482,553
41,257
158,632
32,73
90,598
514,241
335,634
121,553
30,239
212,497
64,468
12,108
289,124
471,409
311,588
10,519
436,262
61,227
84,581
9,227
369,576
184,475
508,187
63,416
317,156
209,539
4,287
131,627
144,513
48,578
313,538
76,447
5,255
407,466
80,149
379,338
509,306
139,84
362,253
153,101
244,266
55,432
30,571
365,438
245,205
8,205
108,456
310,200
72,244
406,565
330,623
46,301
496,272
237,591
513,209
229,393
191,291
271,584
61,559
499,574
406,436
347,409
480,50
57,421
446,233
55,496
268,42
42,223
344,462
345,31
288,275
333,303
324,543
242,628
103,511
335,495
210,281
172,62
330,75
180,275
12,61
390,183
350,211
357,527
326,310
393,138
504,503
118,248
50,7
43,458
450,384
258,556
303,352
425,480
383,159
207,337
446,205
324,5
82,65
113,98
55,126
149,90
340,347
256,441
202,110
133,12
107,553
361,75
188,11
54,533
433,432
205,40
204,526
286,286
2,539
102,383
264,484
363,564
139,632
78,49
152,115
236,297
425,46
217,566
379,387
339,422
429,472
462,302
70,229
122,477
303,104
326,464
234,300
304,19
229,371
182,32
454,70
518,161
322,39
492,419
266,450
501,438
386,545
272,242
282,593
244,456
443,604
61,71
8,341
246,454
325,60
111,452
325,223
63,35
93,320
440,629
197,519
423,11
312,20
278,344
53,45
317,49
326,160
364,326
261,291
42,334
172,296
326,452
343,330
277,249
298,162
352,460
22,576
334,42
154,448
357,26
300,225
293,212
260,535
60,491
260,205
225,145
501,326
499,300
114,287
20,503
308,69
101,97
434,228
23,159
8,182
497,424
402,422
121,207
209,119
415,16
279,349
505,284
350,97
479,307
36,187
332,355
512,274
114,400
14,630
499,546
259,380
71,135
426,32
430,133
434,253
21,467
64,207
425,402
216,417
273,630
480,584
226,613
29,341
483,2
72,375
472,478
223,328
214,181
482,91
485,46
433,577
159,95
267,599
90,570
200,222
